date,ex
2014-11-27,6.1320 
2014-11-28,6.1345 
2014-12-01,6.1369 
2014-12-02,6.1325 
2014-12-03,6.1376 
2014-12-04,6.1411 
2014-12-05,6.1373 
2014-12-08,6.1282 
2014-12-09,6.1231 
2014-12-10,6.1195 
2014-12-11,6.1153 
2014-12-12,6.1184 
2014-12-15,6.1152 
2014-12-16,6.1182 
2014-12-17,6.1137 
2014-12-18,6.1195 
2014-12-19,6.1205 
2014-12-22,6.1220 
2014-12-23,6.1230 
2014-12-24,6.1247 
2014-12-25,6.1213 
2014-12-26,6.1186 
2014-12-29,6.1205 
2014-12-30,6.1224 
2014-12-31,6.1190 
